
OptiFine_1.4.6_HD_U_D5
Thu Feb 28 02:58:48 EET 2013
OS: Windows 7 (amd64) version 6.1
Java: 1.7.0_11, Oracle Corporation
VM: Java HotSpot(TM) 64-Bit Server VM (mixed mode), Oracle Corporation
LWJGL: 2.8.4
OpenGL: AMD Radeon HD 6700 Series version 4.2.11931 Compatibility Profile Context, ATI Technologies Inc.
OpenGL Version: 4.0
OpenGL Fancy fog: Not available (GL_NV_fog_distance)
(Reflector) Class not present: LightCache
(Reflector) Class not present: BlockCoord
TextureFX registered: ic2.core.TextureLiquidFX@6d19054, texId: 11, index: 202
TextureFX registered: bdj@6e7fdf7b, texId: 22, index: 237
TextureFX registered: bdm@331a438e, texId: 22, index: 205
TextureFX registered: bdk@14939d8, texId: 22, index: 14
TextureFX registered: bdf@72902e4a, texId: 23, index: 54
TextureFX registered: bde@373639d0, texId: 23, index: 70
TextureFX registered: bdl@4dbfa59c, texId: 22, index: 206
TextureFX registered: bdi@6111cca4, texId: 22, index: 238
TextureFX registered: bdh@579254c5, texId: 22, index: 31
TextureFX registered: bdh@47fb7e6d, texId: 22, index: 47
TextureFX removed: bdj@6e7fdf7b, texId: 22, index: 237
TextureFX registered: TextureHDLavaFX@5892924e, texId: 22, index: 237
TextureFX removed: bdm@331a438e, texId: 22, index: 205
TextureFX registered: TextureHDWaterFX@7ec36c4f, texId: 22, index: 205
TextureFX removed: bdk@14939d8, texId: 22, index: 14
TextureFX registered: TextureHDPortalFX@4ffbf78d, texId: 22, index: 14
TextureFX removed: bdl@4dbfa59c, texId: 22, index: 206
TextureFX registered: TextureHDWaterFlowFX@27397301, texId: 22, index: 206
TextureFX removed: bdi@6111cca4, texId: 22, index: 238
TextureFX registered: TextureHDLavaFlowFX@2cad5ac5, texId: 22, index: 238
TextureFX removed: bdh@579254c5, texId: 22, index: 31
TextureFX registered: TextureHDFlamesFX@3c836d3d, texId: 22, index: 31
TextureFX removed: bdh@47fb7e6d, texId: 22, index: 47
TextureFX registered: TextureHDFlamesFX@5878ded4, texId: 22, index: 47
TextureFX removed: bdf@72902e4a, texId: 23, index: 54
TextureFX registered: TextureHDCompassFX@7a614724, texId: 23, index: 54
TextureFX removed: bde@373639d0, texId: 23, index: 70
TextureFX registered: TextureHDWatchFX@66570860, texId: 23, index: 70
Loading custom colors: /misc/grasscolor.png
Loading custom colors: /misc/foliagecolor.png
TextureFX registered: buildcraft.energy.render.TextureOilFX@6dbbeee7, texId: 29, index: 205
TextureFX registered: buildcraft.energy.render.TextureFuelFX@4d41b7f9, texId: 30, index: 0
TextureFX registered: buildcraft.energy.render.TextureOilFlowFX@1595640f, texId: 29, index: 206
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@48526815, texId: 47, index: 0
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@1a2f5fcb, texId: 47, index: 1
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@1c3a15db, texId: 47, index: 2
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@2970eb57, texId: 47, index: 3
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@346ab202, texId: 47, index: 4
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@48ccbc30, texId: 47, index: 5
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@795718a6, texId: 47, index: 6
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@45137886, texId: 47, index: 7
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@14dc8d8, texId: 47, index: 8
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@19bcdd93, texId: 47, index: 9
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@3e76eb18, texId: 47, index: 10
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@714494b1, texId: 47, index: 11
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@4d7e2a8f, texId: 47, index: 12
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@161c3a08, texId: 47, index: 13
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@1725ee8f, texId: 47, index: 14
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@3b50fa28, texId: 47, index: 15
TextureFX registered: thermalexpansion.core.render.TextureEnderFX@49a5d96c, texId: 47, index: 64
TextureFX registered: forestry.core.render.TextureBiomassFX@47cb37f6, texId: 355, index: 13
TextureFX registered: forestry.core.render.TextureBiofuelFX@2409b43e, texId: 355, index: 12
TextureFX registered: forestry.core.render.TextureMilkFX@40e404ca, texId: 355, index: 15
TextureFX registered: forestry.core.render.TextureHoneyFX@37272aa5, texId: 355, index: 76
TextureFX registered: forestry.core.render.TextureSeedOilFX@52661dbd, texId: 355, index: 74
TextureFX registered: forestry.core.render.TextureJuiceFX@285e33a1, texId: 355, index: 75
TextureFX registered: forestry.core.render.TextureMeadFX@3db4691d, texId: 355, index: 77
TextureFX registered: forestry.core.render.TextureGlassFX@7f86effa, texId: 355, index: 49
TextureFX registered: forestry.core.render.TextureIceFX@4386bea6, texId: 355, index: 73
TextureFX registered: forestry.core.render.TextureHabitatLocatorFX@521ef38b, texId: 90, index: 105
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 99, texId: 176, index: 99
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 98, texId: 176, index: 98
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 97, texId: 176, index: 97
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 96, texId: 176, index: 96
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 103, texId: 176, index: 103
